fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
09/12/2021;Soria;12960;29;1440;297;42173;41.666667,-2.666667
09/12/2021;Burgos;55273;136;5080;813;9059;42.383333,-3.666667
09/12/2021;Zamora;19087;29;2229;469;49275;41.75,-6.0
09/12/2021;LeÇün;54723;111;5766;1233;24089;42.666667,-6.0
09/12/2021;Valladolid;72194;255;8386;1301;47186;41.583333,-4.666667
08/12/2021;Salamanca;41854;170;4438;897;37274;40.833333,-6.0
08/12/2021;Segovia;21963;38;2079;386;40004;41.166667,-4.0
08/12/2021;Zamora;19049;121;2229;469;49275;41.75,-6.0
08/12/2021;LeÇün;54604;146;5762;1230;24089;42.666667,-6.0
08/12/2021;Burgos;55131;78;5077;813;9059;42.383333,-3.666667
08/12/2021;Palencia;25943;56;2592;509;34120;42.432128,-4.520647
08/12/2021;Çvila;18489;40;2026;396;5019;40.616092,-4.929031
08/12/2021;Soria;12926;26;1439;297;42173;41.666667,-2.666667
08/12/2021;Valladolid;71902;306;8382;1301;47186;41.583333,-4.666667
07/12/2021;Çvila;18449;34;2023;395;5019;40.616092,-4.929031
07/12/2021;Palencia;25887;40;2588;508;34120;42.432128,-4.520647
07/12/2021;Burgos;55053;76;5069;813;9059;42.383333,-3.666667
07/12/2021;LeÇün;54458;95;5760;1230;24089;42.666667,-6.0
07/12/2021;Salamanca;41684;20;4427;894;37274;40.833333,-6.0
07/12/2021;Valladolid;71596;190;8374;1298;47186;41.583333,-4.666667
07/12/2021;Segovia;21925;16;2079;386;40004;41.166667,-4.0
07/12/2021;Zamora;18928;20;2229;469;49275;41.75,-6.0
07/12/2021;Soria;12900;18;1438;297;42173;41.666667,-2.666667
06/12/2021;Palencia;25846;53;2587;507;34120;42.432128,-4.520647
06/12/2021;Valladolid;71380;203;8370;1297;47186;41.583333,-4.666667
06/12/2021;Burgos;54955;122;5069;813;9059;42.383333,-3.666667
06/12/2021;LeÇün;54357;57;5759;1229;24089;42.666667,-6.0
06/12/2021;Segovia;21910;15;2079;386;40004;41.166667,-4.0
06/12/2021;Çvila;18406;42;2023;395;5019;40.616092,-4.929031
06/12/2021;Soria;12878;17;1438;297;42173;41.666667,-2.666667
06/12/2021;Salamanca;41646;46;4425;892;37274;40.833333,-6.0
06/12/2021;Zamora;18901;8;2229;469;49275;41.75,-6.0
05/12/2021;Palencia;25793;49;2585;505;34120;42.432128,-4.520647
05/12/2021;Segovia;21895;10;2079;385;40004;41.166667,-4.0
05/12/2021;Soria;12861;15;1436;297;42173;41.666667,-2.666667
05/12/2021;Valladolid;71177;138;8365;1297;47186;41.583333,-4.666667
05/12/2021;Burgos;54833;124;5068;812;9059;42.383333,-3.666667
05/12/2021;Salamanca;41600;82;4425;892;37274;40.833333,-6.0
05/12/2021;Çvila;18364;42;2021;393;5019;40.616092,-4.929031
05/12/2021;LeÇün;54300;158;5758;1228;24089;42.666667,-6.0
05/12/2021;Zamora;18893;14;2229;469;49275;41.75,-6.0
04/12/2021;Burgos;54709;139;5067;811;9059;42.383333,-3.666667
04/12/2021;Soria;12846;25;1435;297;42173;41.666667,-2.666667
04/12/2021;LeÇün;54142;127;5757;1227;24089;42.666667,-6.0
04/12/2021;Palencia;25744;93;2585;505;34120;42.432128,-4.520647
04/12/2021;Salamanca;41518;87;4421;892;37274;40.833333,-6.0
04/12/2021;Segovia;21885;25;2079;385;40004;41.166667,-4.0
